,X,Channel,Activity,Genotype,Sex,Age,Rep
272,614,adj_Monitor33_ch32,1276.2,Y160C,M,W0,R3
273,178,adj_Monitor18_ch27,1275.2,KO,F,W0,R2
274,964,adj_Monitor6_ch1,1272.6,KO,F,W0,R4
275,314,adj_Monitor22_ch1,1272.6,KO,F,W0,R1
276,528,adj_Monitor31_ch1,1268.4,W422X,M,W0,R4
277,428,adj_Monitor27_ch3,1268,WG2,M,W0,R4
278,935,adj_Monitor5_ch10,1267.2,WG2,F,W0,R2
279,117,adj_Monitor15_ch3,1267,Y160C,F,W0,R2
280,40,adj_Monitor11_ch18,1265.8,W422X,F,W0,R4
281,991,adj_Monitor6_ch5,1265.6,KO,F,W0,R4
282,551,adj_Monitor31_ch31,1264.2,W422X,M,W0,R4
283,415,adj_Monitor27_ch16,1264,WG2,M,W0,R4
284,54,adj_Monitor11_ch30,1262.6,W422X,F,W0,R4
285,487,adj_Monitor2_ch29,1261.6,WG2,M,W0,R2
286,436,adj_Monitor27_ch9,1260.6,WG2,M,W0,R4
287,452,adj_Monitor28_ch23,1258,W422X,M,W0,R1
288,195,adj_Monitor19_ch14,1256,KO,M,W0,R2
289,802,adj_Monitor41_ch5,1255.2,Y160C,M,W0,R4
290,455,adj_Monitor28_ch27,1254,W422X,M,W0,R1
291,992,adj_Monitor6_ch6,1252.6,KO,F,W0,R4
292,410,adj_Monitor27_ch11,1252.4,WG2,M,W0,R4
293,792,adj_Monitor41_ch25,1250.8,Y160C,M,W0,R4
294,309,adj_Monitor21_ch5,1250.6,WG2,M,W0,R3
295,536,adj_Monitor31_ch17,1250.4,W422X,M,W0,R4
296,497,adj_Monitor2_ch9,1250,WG2,M,W0,R2
297,456,adj_Monitor28_ch28,1249.6,W422X,M,W0,R1
298,918,adj_Monitor50_ch24,1249.4,W422X,F,W0,R3
299,718,adj_Monitor39_ch16,1248.8,W422X,M,W0,R2
300,97,adj_Monitor15_ch11,1248,Y160C,F,W0,R2
301,769,adj_Monitor3_ch4,1246.8,W422X,M,W0,R3
302,131,adj_Monitor16_ch13,1245.4,WG2,F,W0,R4
303,829,adj_Monitor42_ch3,1244,W422X,F,W0,R2
304,707,adj_Monitor38_ch6,1240.8,KO,M,W0,R4
305,76,adj_Monitor14_ch21,1240.6,W422X,F,W0,R1
306,662,adj_Monitor35_ch2,1238.8,KO,M,W0,R3
307,472,adj_Monitor2_ch15,1238.2,WG2,M,W0,R2
308,236,adj_Monitor1_ch24,1237.6,Y160C,F,W0,R3
309,445,adj_Monitor28_ch17,1236.4,W422X,M,W0,R1
310,537,adj_Monitor31_ch18,1236.4,W422X,M,W0,R4
311,925,adj_Monitor50_ch30,1236.2,W422X,F,W0,R3
312,3,adj_Monitor10_ch12,1235.6,Y160C,F,W0,R4
313,326,adj_Monitor22_ch20,1231.6,KO,F,W0,R1
314,947,adj_Monitor5_ch22,1230.8,WG2,F,W0,R2
315,577,adj_Monitor32_ch26,1230.6,WG2,M,W0,R1
316,971,adj_Monitor6_ch16,1230.2,KO,F,W0,R4
317,804,adj_Monitor41_ch7,1229.8,Y160C,M,W0,R4
318,196,adj_Monitor19_ch15,1229.4,KO,M,W0,R2
319,400,adj_Monitor26_ch31,1229.4,WG2,F,W0,R3
320,151,adj_Monitor16_ch31,1228.8,WG2,F,W0,R4
321,508,adj_Monitor30_ch2,1227.8,Y160C,F,W0,R1
322,129,adj_Monitor16_ch11,1227.2,WG2,F,W0,R4
323,391,adj_Monitor26_ch23,1226.8,WG2,F,W0,R3
324,637,adj_Monitor34_ch26,1226.6,KO,M,W0,R1
325,880,adj_Monitor49_ch19,1226.4,Y160C,M,W0,R2
326,242,adj_Monitor1_ch3,1226,Y160C,F,W0,R3
327,510,adj_Monitor30_ch21,1225.8,Y160C,F,W0,R1
328,664,adj_Monitor35_ch21,1225,KO,M,W0,R3
329,154,adj_Monitor16_ch5,1225,WG2,F,W0,R4
330,717,adj_Monitor39_ch15,1223.8,W422X,M,W0,R2
331,269,adj_Monitor20_ch26,1223,Y160C,M,W0,R1
332,826,adj_Monitor42_ch27,1222.8,W422X,F,W0,R2
333,293,adj_Monitor21_ch2,1222.6,WG2,M,W0,R3
334,545,adj_Monitor31_ch25,1220.8,W422X,M,W0,R4
335,21,adj_Monitor10_ch29,1220,Y160C,F,W0,R4
336,104,adj_Monitor15_ch18,1219.4,Y160C,F,W0,R2
337,749,adj_Monitor3_ch15,1219.2,W422X,M,W0,R3
338,78,adj_Monitor14_ch23,1218.8,W422X,F,W0,R1
339,942,adj_Monitor5_ch18,1218.6,WG2,F,W0,R2
340,429,adj_Monitor27_ch30,1218.6,WG2,M,W0,R4
341,453,adj_Monitor28_ch24,1216.6,W422X,M,W0,R1
342,885,adj_Monitor49_ch23,1216.4,Y160C,M,W0,R2
343,949,adj_Monitor5_ch24,1216.4,WG2,F,W0,R2
344,923,adj_Monitor50_ch29,1216.4,W422X,F,W0,R3
345,255,adj_Monitor20_ch12,1215.6,Y160C,M,W0,R1
346,679,adj_Monitor35_ch8,1215,KO,M,W0,R3
347,105,adj_Monitor15_ch19,1213,Y160C,F,W0,R2
348,394,adj_Monitor26_ch26,1211.4,WG2,F,W0,R3
349,171,adj_Monitor18_ch20,1211,KO,F,W0,R2
350,297,adj_Monitor21_ch23,1210.4,WG2,M,W0,R3
351,214,adj_Monitor19_ch4,1209.8,KO,M,W0,R2
352,81,adj_Monitor14_ch26,1209.2,W422X,F,W0,R1
353,139,adj_Monitor16_ch20,1208.6,WG2,F,W0,R4
354,540,adj_Monitor31_ch20,1208.6,W422X,M,W0,R4
355,658,adj_Monitor35_ch16,1208.6,KO,M,W0,R3
356,711,adj_Monitor39_ch1,1208.6,W422X,M,W0,R2
357,144,adj_Monitor16_ch25,1208.2,WG2,F,W0,R4
358,27,adj_Monitor10_ch6,1207.6,Y160C,F,W0,R4
359,693,adj_Monitor38_ch20,1206.8,KO,M,W0,R4
360,933,adj_Monitor50_ch9,1205.8,W422X,F,W0,R3
361,846,adj_Monitor45_ch16,1205.6,KO,F,W0,R3
362,882,adj_Monitor49_ch20,1204.6,Y160C,M,W0,R2
363,748,adj_Monitor3_ch14,1204.2,W422X,M,W0,R3
364,750,adj_Monitor3_ch16,1204,W422X,M,W0,R3
365,987,adj_Monitor6_ch30,1203.8,KO,F,W0,R4
366,414,adj_Monitor27_ch15,1203.4,WG2,M,W0,R4
367,564,adj_Monitor32_ch14,1200.4,WG2,M,W0,R1
368,60,adj_Monitor11_ch7,1198,W422X,F,W0,R4
369,395,adj_Monitor26_ch27,1197.2,WG2,F,W0,R3
